Name,Spearman
Cc72_00013751-RA,0.714285714
Cc72_00013750-RA,0.204124145
Cc72_00013755-RA,-0.857142857
Cc72_00013754-RA,-0.821428571
Cc72_00013758-RA,-0.607142857
Cc72_00013756-RA,-0.801783726
Cc72_00013757-RA,-0.035714286
Cc72_00013759-RA,-0.535714286
Cc72_00013760-RA,-0.892857143
Cc72_00013765-RA,-0.285714286
Cc72_00013764-RA,
Cc72_00013761-RA,0.535714286
Cc72_00013763-RA,-0.428571429
Cc72_00013762-RA,-0.785714286
Cc72_00013768-RA,-0.714285714
Cc72_00013767-RA,-0.464285714
Cc72_00013766-RA,0.857142857
Cc72_00013775-RA,0.178571429
Cc72_00013770-RA,-0.178571429
Cc72_00013771-RA,-0.964285714
Cc72_00013769-RA,-0.906326967
Cc72_00013773-RA,-0.074124932
Cc72_00013772-RA,-0.857142857
Cc72_00013774-RA,0.75
Cc72_00013776-RA,-0.540562478
Cc72_00013779-RA,0.75
Cc72_00013777-RA,0.678571429
Cc72_00013781-RA,0.357142857
Cc72_00013780-RA,-0.821428571
Cc72_00013778-RA,-0.267261242
Cc72_00013782-RA,-0.612637475
Cc72_00013784-RA,-0.785714286
Cc72_00013783-RA,-0.178571429
Cc72_00013787-RA,0.464285714
Cc72_00013786-RA,
Cc72_00013785-RA,0.892857143
Cc72_00013791-RA,-0.756787469
Cc72_00013789-RA,0.714285714
Cc72_00013788-RA,0.821428571
Cc72_00013792-RA,-0.428571429
Cc72_00013790-RA,-0.828862466
Cc72_00013797-RA,
Cc72_00013799-RA,-0.428571429
Cc72_00013795-RA,-0.428571429
Cc72_00013796-RA,-0.714285714
Cc72_00013794-RA,
Cc72_00013793-RA,
Cc72_00013798-RA,
Cc72_00013802-RA,-0.801783726
Cc72_00013805-RA,-0.857142857
Cc72_00013803-RA,0.214285714
Cc72_00013801-RA,0
Cc72_00013804-RA,-0.142857143
Cc72_00013807-RA,0.464285714
Cc72_00013806-RA,-0.5
Cc72_00013800-RA,
Cc72_00013809-RA,-0.25226249
Cc72_00013808-RA,-0.785714286
Cc72_00013810-RA,0.360374985
Cc72_00013811-RA,
Cc72_00013815-RA,0.178571429
Cc72_00013818-RA,
Cc72_00013816-RA,-0.285714286
Cc72_00013812-RA,
Cc72_00013817-RA,0.428571429
Cc72_00013814-RA,0
Cc72_00013813-RA,
Cc72_00013820-RA,-0.607142857
Cc72_00013819-RA,-0.571428571
Cc72_00013821-RA,-0.821428571
Cc72_00013823-RA,0.40824829
Cc72_00013824-RA,-0.892857143
Cc72_00013825-RA,0.535714286
Cc72_00013822-RA,
Cc72_00013826-RA,-0.285714286
Cc72_00013827-RA,0.428571429
Cc72_00013832-RA,-0.612372436
Cc72_00013836-RA,0.535714286
Cc72_00013835-RA,0.857142857
Cc72_00013837-RA,0.669893845
Cc72_00013828-RA,-0.464285714
Cc72_00013830-RA,-0.25
Cc72_00013838-RA,0.571428571
Cc72_00013834-RA,-0.285714286
Cc72_00013829-RA,-0.535714286
Cc72_00013833-RA,-0.428571429
Cc72_00013831-RA,-0.684712472
Cc72_00013839-RA,0.714285714
Cc72_00013843-RA,-0.40824829
Cc72_00013840-RA,-0.428571429
Cc72_00013842-RA,-0.774806218
Cc72_00013841-RA,-0.821428571
Cc72_00013844-RA,-0.612372436
Cc72_00013845-RA,0.667124385
Cc72_00013847-RA,0.714285714
Cc72_00013846-RA,0.107142857
Cc72_00013853-RA,-0.464285714
Cc72_00013848-RA,-0.357142857
Cc72_00013854-RA,
Cc72_00013851-RA,-0.678571429
Cc72_00013849-RA,
Cc72_00013852-RA,
Cc72_00013850-RA,-0.214285714
Cc72_00013855-RA,-0.571428571
Cc72_00013856-RA,0
Cc72_00013857-RA,
Cc72_00013858-RA,-0.857142857
Cc72_00013861-RA,-0.714285714
Cc72_00013866-RA,-0.392857143
Cc72_00013865-RA,-0.285714286
Cc72_00013862-RA,-0.535714286
Cc72_00013859-RA,0.785714286
Cc72_00013863-RA,-0.964285714
Cc72_00013860-RA,-0.704186851
Cc72_00013864-RA,-0.75
Cc72_00013869-RA,-0.756787469
Cc72_00013867-RA,0.607142857
Cc72_00013868-RA,-0.142857143
Cc72_00013874-RA,-0.785714286
Cc72_00013871-RA,-0.285714286
Cc72_00013876-RA,-0.785714286
Cc72_00013873-RA,-0.756787469
Cc72_00013879-RA,0.714285714
Cc72_00013875-RA,-0.785714286
Cc72_00013877-RA,0.642857143
Cc72_00013872-RA,0.214285714
Cc72_00013878-RA,0.214285714
Cc72_00013870-RA,-0.892857143
Cc72_00013881-RA,-0.857142857
Cc72_00013883-RA,
Cc72_00013880-RA,-0.107142857
Cc72_00013887-RA,-0.5
Cc72_00013885-RA,-0.204124145
Cc72_00013884-RA,-0.357142857
